experiment,edge,given cycle,found cycle,iterations
1,"0,1","0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0","0,1,2,3,4,9,10,8,7,6,5,11,12,13,14,15,16,17",18
1,"1,2","1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1","1,2,17,0,16,15,3,4,5,6,7,8,9,10,11,12,13,14",3
1,"2,3","2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2","2,3,4,9,8,10,11,5,6,7,12,13,14,15,16,17,0,1",9
1,"3,4","3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3","3,4,5,6,7,8,9,10,11,12,13,14,1,2,17,0,16,15",4
1,"4,5","4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4","4,5,6,7,8,9,10,11,12,13,14,1,2,17,0,16,15,3",10
1,"5,6","5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4,4,5","5,6,7,8,10,9,4,3,2,1,0,17,16,15,14,13,12,11",3
1,"6,7","6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4,4,5,5,6","6,7,12,13,14,15,16,17,0,1,2,3,4,9,8,10,11,5",4
1,"7,8","7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7","7,8,9,10,11,12,13,14,1,2,17,0,16,15,3,4,5,6",12
1,"8,9","8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8","8,9,4,3,2,1,0,17,16,15,14,13,12,7,6,5,11,10",6
1,"9,10","9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9","9,10,8,7,6,5,11,12,13,14,15,16,17,0,1,2,3,4",2
